ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763431644.3644707,d4pg_train,FAR,train,1,0,-8.531818925034965,0,1,0,0.021,0.038,1.395,-0.06830411,0.0012966867,0.015838305,-0.0034489257,0.056061335,-0.05148118,0.0,0.0,0.0,0.3456079363822937,0.3456079363822937,link6
1763431645.741221,d4pg_train,FAR,train,1,1,-8.254578128500983,0,2,0,0.006,0.14,1.363,-1.0305724,-0.10671939,0.12965307,-0.4893766,-0.72483826,-0.061486974,0.0,0.0,0.0,0.5006473064422607,0.5006473064422607,link6
1763431647.1263802,d4pg_train,FAR,train,1,2,-8.880375944096276,0,3,0,0.109,0.011,1.371,-0.4517711,-0.02505637,0.29656252,-0.28261954,-0.5462601,0.1181502,0.0,0.0,0.0,0.2074405997991562,0.2074405997991562,link6
1763431648.5185893,d4pg_train,FAR,train,1,3,-8.237363635723979,0,4,0,0.283,0.055,1.342,0.040198863,0.06435492,0.33795214,-0.2590155,-0.18259625,0.1364758,0.0,0.0,0.0,0.801014244556427,0.801014244556427,link6
1763431649.9027436,d4pg_train,FAR,train,1,4,-8.1506657614236,0,5,0,-0.245,0.19,1.322,-0.50747234,-0.10057783,-0.18002282,-0.18305036,-0.672656,-0.7590718,0.0,0.0,0.0,0.7278807163238525,0.7278807163238525,link6
1763431651.282775,d4pg_train,FAR,train,1,5,-8.30762609735954,0,6,0,-0.167,0.177,1.36,-0.66428226,-0.06276932,-0.2231235,0.07259299,-0.12771334,-0.43995273,0.0,0.0,0.0,0.562530517578125,0.562530517578125,link6
1763431652.663615,d4pg_train,FAR,train,1,6,-8.297121560149364,0,7,0,-0.111,0.158,1.369,-0.7324524,-0.04769795,-0.27953961,0.11799446,0.25015843,-0.2700991,0.0,0.0,0.0,0.7919285297393799,0.7919285297393799,link6
1763431654.0519042,d4pg_train,FAR,train,1,7,-8.063513432912636,0,8,0,0.063,0.196,1.318,-1.5152808,-0.011267965,-0.13410002,-0.36205322,-1.0010445,0.7940965,0.0,0.0,0.0,0.4429216682910919,0.4429216682910919,link6
1763431655.4399548,d4pg_train,FAR,train,1,8,-7.7547735197333845,0,9,0,-0.402,0.28,1.196,-0.50165635,-0.0469819,-0.7310642,-0.6110132,-0.18526146,0.28195617,0.0,0.0,0.0,1.0927655696868896,1.0927655696868896,link6
1763431656.827333,d4pg_train,FAR,train,1,9,-7.429283321761637,0,10,0,-0.601,0.185,1.064,-0.25526053,-0.12404266,-0.9325646,-0.87626135,0.045194652,-0.19350421,0.0,0.0,0.0,0.5899384021759033,0.5899384021759033,link6
1763431658.205132,d4pg_train,FAR,train,1,10,-8.199612311351686,0,11,0,-0.021,0.044,1.361,-0.25687248,0.09478232,-0.09588826,0.041677848,-0.7246314,-0.46330267,0.0,0.0,0.0,0.5171703696250916,0.5171703696250916,link6
1763431659.5809517,d4pg_train,FAR,train,1,11,-9.038005551404293,0,12,0,0.229,-0.078,1.356,-0.48704886,0.031952582,0.35131994,0.34572116,-0.060804404,-0.37605175,0.0,0.0,0.0,0.18662162125110626,0.18662162125110626,link6
1763431660.9698308,d4pg_train,FAR,train,1,12,-8.17708194990824,0,13,0,0.269,-0.17,1.321,-0.6935671,0.03323406,0.43949744,0.49780178,-0.08416916,-0.28502336,0.0,0.0,0.0,0.53242427110672,0.53242427110672,link6
1763431662.3465664,d4pg_train,FAR,train,1,13,-8.424913344995094,0,14,0,0.099,-0.028,1.385,-0.73473006,0.18249334,-0.2111633,0.6276575,0.0934482,-0.12255497,0.0,0.0,0.0,0.3995218873023987,0.3995218873023987,link6
1763431663.7317634,d4pg_train,FAR,train,1,14,-8.353374432049968,0,15,0,0.052,-0.009,1.385,-0.79501164,0.06622353,-0.13860784,-0.18152454,0.4261453,-0.38687727,0.0,0.0,0.0,0.4897017478942871,0.4897017478942871,link6
1763431665.1047537,d4pg_train,FAR,train,1,15,-8.415096293719245,0,16,0,0.033,0.016,1.395,-1.0645838,0.01302857,-0.03773424,-0.24128379,0.08969513,-0.35950428,0.0,0.0,0.0,0.47746706008911133,0.47746706008911133,link6
1763431666.4840744,d4pg_train,FAR,train,1,16,-8.347584441738546,0,17,0,0.02,0.031,1.384,-0.69571126,0.14392516,-0.282231,-0.82970595,0.031707674,-0.4096826,0.0,0.0,0.0,0.48125678300857544,0.48125678300857544,link6
1763431667.8580158,d4pg_train,FAR,train,1,17,-8.280394897273919,0,18,0,-0.096,0.169,1.365,-0.91174066,-0.006284231,-0.31146798,-0.8930121,0.114130944,-0.08795725,0.0,0.0,0.0,0.6464974880218506,0.6464974880218506,link6
1763431669.2333307,d4pg_train,FAR,train,1,18,-8.40650814536158,0,19,0,-0.078,0.181,1.371,-0.93059456,-0.035341233,-0.21603307,-0.90685403,-0.06926183,-0.34658542,0.0,0.0,0.0,0.395344078540802,0.395344078540802,link6
1763431670.6153061,d4pg_train,FAR,train,1,19,-8.491414449587797,0,20,0,0.307,0.159,1.268,0.23180354,0.0066362047,0.6836737,-0.5832853,-0.7506562,-0.19728768,0.0,0.0,0.0,0.21108347177505493,0.21108347177505493,link6
1763431674.2788038,d4pg_train,FAR,train,2,0,-8.398811510157076,0,21,0,-0.017,0.051,1.394,-0.4879778,-0.01818165,-0.042873826,-0.09808794,0.06831887,0.07577457,0.0,0.0,0.0,0.516398549079895,0.516398549079895,link6
1763431675.6535127,d4pg_train,FAR,train,2,1,-8.394202491016642,0,22,0,-0.014,0.07,1.392,-0.88342714,-0.033705942,-0.068897806,-0.23755375,0.18984629,-0.115921006,0.0,0.0,0.0,0.507591187953949,0.507591187953949,link6
1763431677.0342944,d4pg_train,FAR,train,2,2,-7.999986244751933,0,23,0,-0.17,0.374,1.268,-0.97212875,-0.07123835,-0.49013072,-0.4453371,-0.42697576,0.252881,0.0,0.0,0.0,0.754767119884491,0.754767119884491,link6
1763431678.4150622,d4pg_train,FAR,train,2,3,-8.324305055704933,0,24,0,-0.015,0.183,1.367,-1.208036,0.00038531117,-0.22138128,-0.40815762,-0.26080984,-0.35615528,0.0,0.0,0.0,0.4632592797279358,0.4632592797279358,link6
