ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763459607.515996,d4pg_demo,FAR,demo,1,0,-8.383240536196904,0,0,0,-0.014,0.038,1.395,0.07930404,0.0022239087,-0.017307984,0.022433046,-0.079040885,-0.030462986,0.0,0.0,0.0,0.6243584156036377,0.6243584156036377,link6
1763459608.8920095,d4pg_demo,FAR,demo,1,1,-8.253467002418823,0,0,0,-0.087,-0.028,1.37,0.5568245,0.019322548,-0.07468634,0.25371853,-0.57866246,-0.2398802,0.0,0.0,0.0,0.5796156525611877,0.5796156525611877,link6
1763459610.2743394,d4pg_demo,FAR,demo,1,2,-8.2766651256029,0,0,0,-0.059,-0.012,1.374,0.52254647,0.024850603,-0.034506947,0.30052328,-0.578214,-0.25506228,0.0,0.0,0.0,0.5308203101158142,0.5308203101158142,link6
1763459611.648114,d4pg_demo,FAR,demo,1,3,-8.288700626225706,0,0,0,-0.03,0.003,1.377,0.47704843,0.027873509,0.0072435285,0.34779754,-0.5748439,-0.27258787,0.0,0.0,0.0,0.5309561491012573,0.5309561491012573,link6
1763459613.021794,d4pg_demo,FAR,demo,1,4,-8.28245967085787,0,0,0,-0.031,0.002,1.376,0.47396696,0.02928932,0.0039584213,0.3507949,-0.5766543,-0.2711355,0.0,0.0,0.0,0.5324414372444153,0.5324414372444153,link6
1763459614.3963318,d4pg_demo,FAR,demo,1,5,-8.282266736189843,0,0,0,-0.03,0.003,1.376,0.47181946,0.030592812,0.0028849773,0.35142836,-0.57675725,-0.27058834,0.0,0.0,0.0,0.5327328443527222,0.5327328443527222,link6
1763459615.7730384,d4pg_demo,FAR,demo,1,6,-8.282497976937114,0,0,0,-0.032,0.001,1.376,0.47391358,0.02840641,0.002843667,0.35126224,-0.5772036,-0.27163878,0.0,0.0,0.0,0.5328218340873718,0.5328218340873718,link6
1763459617.1503363,d4pg_demo,FAR,demo,1,7,-8.282386019958425,0,0,0,-0.031,0.002,1.376,0.472235,0.02949126,0.0028847526,0.35124978,-0.5769508,-0.27105236,0.0,0.0,0.0,0.532744288444519,0.532744288444519,link6
1763459618.5273468,d4pg_demo,FAR,demo,1,8,-8.282244512652422,0,0,0,-0.03,0.003,1.376,0.4710158,0.030510996,0.0027640373,0.35119992,-0.5766574,-0.27069327,0.0,0.0,0.0,0.5328243970870972,0.5328243970870972,link6
1763459619.9021873,d4pg_demo,FAR,demo,1,9,-8.282488809636213,0,0,0,-0.032,0.001,1.376,0.47373328,0.02852455,0.0027892678,0.3512239,-0.5771872,-0.2715467,0.0,0.0,0.0,0.5328596234321594,0.5328596234321594,link6
1763459621.2793272,d4pg_demo,FAR,demo,1,10,-8.282381707263323,0,0,0,-0.031,0.002,1.376,0.4718881,0.029859714,0.002770983,0.35121238,-0.57683206,-0.27096978,0.0,0.0,0.0,0.5327620506286621,0.5327620506286621,link6
1763459622.657777,d4pg_demo,FAR,demo,1,11,-8.282236111785803,0,0,0,-0.03,0.003,1.376,0.4710537,0.030464029,0.002762175,0.3511805,-0.5766741,-0.27071184,0.0,0.0,0.0,0.5328590273857117,0.5328590273857117,link6
1763459624.0362139,d4pg_demo,FAR,demo,1,12,-8.282496375011357,0,0,0,-0.032,0.002,1.376,0.47337058,0.028830906,0.0027548997,0.35121793,-0.5770963,-0.27144274,0.0,0.0,0.0,0.5328553915023804,0.5328553915023804,link6
1763459625.4114661,d4pg_demo,FAR,demo,1,13,-8.282252016517093,0,0,0,-0.03,0.002,1.376,0.4717379,0.030187318,0.0026777638,0.35119373,-0.5767259,-0.27096578,0.0,0.0,0.0,0.5327485799789429,0.5327485799789429,link6
1763459626.7897367,d4pg_demo,FAR,demo,1,14,-8.282229391612354,0,0,0,-0.03,0.002,1.376,0.4715089,0.030270671,0.0027792198,0.35117584,-0.5767375,-0.27086815,0.0,0.0,0.0,0.5328418016433716,0.5328418016433716,link6
1763459628.1662202,d4pg_demo,FAR,demo,1,15,-8.282356396485769,0,0,0,-0.031,0.002,1.376,0.4728166,0.029108739,0.0027510298,0.35124525,-0.5769887,-0.27125758,0.0,0.0,0.0,0.532866358757019,0.532866358757019,link6
1763459629.553292,d4pg_demo,FAR,demo,1,16,-8.282256953011593,0,0,0,-0.03,0.003,1.376,0.4713807,0.030386021,0.0026326205,0.35120323,-0.57662094,-0.27084327,0.0,0.0,0.0,0.5327731370925903,0.5327731370925903,link6
