mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,0.0,0,0,0,-0.599,-0.156,0.33,nan,nan,
RANDOM,random,1,2,0.0,0,0,0,-0.052,-0.038,0.742,nan,nan,
RANDOM,random,1,3,0.0,0,0,0,-0.026,0.329,0.7,nan,nan,
RANDOM,random,1,4,0.0,0,0,0,0.246,-0.1,0.417,nan,nan,
RANDOM,random,1,5,0.0,0,0,0,0.531,-0.041,0.86,nan,nan,
RANDOM,random,1,6,0.0,0,0,0,-0.043,0.026,0.802,nan,nan,
RANDOM,random,1,7,0.0,0,0,0,-0.167,-0.33,0.425,nan,nan,
RANDOM,random,1,8,0.0,0,0,0,-0.289,0.098,0.712,nan,nan,
RANDOM,random,1,9,0.0,0,0,0,-0.192,0.075,0.206,nan,nan,
RANDOM,random,1,10,0.0,0,0,0,-0.553,-0.016,0.657,nan,nan,
RANDOM,random,1,11,0.0,0,0,0,-0.265,-0.085,0.539,nan,nan,
RANDOM,random,1,12,0.0,0,0,0,-0.032,-0.16,0.82,nan,nan,
RANDOM,random,1,13,0.0,0,0,0,-0.189,-0.162,0.538,nan,nan,
