ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1764103600.329754,ddpg_train,FAR,train,1,0,-6.360275325841151,0,1,0,-0.002,0.0,1.055,-0.005786894,-0.0051078172,0.0023189348,0.044096924,0.003152663,-0.075707845,0.0,0.0,0.0,0.5107235908508301,0.5107235908508301,link6
1764103601.7063046,ddpg_train,FAR,train,1,1,-6.357178496197313,0,2,0,-0.034,-0.0,1.055,0.00019255011,-0.024711497,-0.032857846,-0.06377508,0.037273787,-0.016697446,0.0,0.0,0.0,0.5343643426895142,0.5343643426895142,link6
1764103603.0892487,ddpg_train,FAR,train,1,2,-6.319945675583156,0,3,0,-0.101,0.004,1.047,-0.03780789,-0.022967368,-0.16863321,-0.15632048,-0.0065899375,-0.08784279,0.0,0.0,0.0,0.6349454522132874,0.6349454522132874,link6
1764103604.475344,ddpg_train,FAR,train,1,3,-6.308162619514255,0,4,0,-0.136,0.009,1.04,-0.058984794,-0.04527063,-0.18564679,-0.26519576,-0.027264176,-0.1421761,0.0,0.0,0.0,0.5822345614433289,0.5822345614433289,link6
1764103605.8689063,ddpg_train,FAR,train,1,4,-6.281170635349885,0,5,0,-0.198,0.067,1.025,-0.32428652,-0.11184737,-0.22550103,-0.24821548,-0.01223641,-0.3999614,0.0,0.0,0.0,0.6993027329444885,0.6993027329444885,link6
1764103607.2537796,ddpg_train,FAR,train,1,5,-6.315950737118616,0,6,0,-0.174,0.059,1.035,-0.32729858,-0.13256398,-0.13038063,-0.114955425,0.014615405,-0.3276227,0.0,0.0,0.0,0.6335274577140808,0.6335274577140808,link6
1764103608.6307871,ddpg_train,FAR,train,1,6,-6.336166166751664,0,7,0,-0.146,0.027,1.043,-0.16329883,-0.1471754,-0.031569596,-0.11468629,0.015193497,-0.3190344,0.0,0.0,0.0,0.5804105401039124,0.5804105401039124,link6
1764103610.0214427,ddpg_train,FAR,train,1,7,-6.319676079046064,0,8,0,-0.176,-0.032,1.037,0.18207036,-0.16916007,-0.05429624,-0.4469338,-0.012520471,-0.42921242,0.0,0.0,0.0,0.6762793660163879,0.6762793660163879,link6
1764103611.3974893,ddpg_train,FAR,train,1,8,-6.277971218894861,0,9,0,-0.268,0.01,1.011,-0.03893544,-0.20907539,-0.17028295,-0.392034,-0.022639303,-0.4500277,0.0,0.0,0.0,0.7740231156349182,0.7740231156349182,link6
1764103612.7745125,ddpg_train,FAR,train,1,9,-6.25763477800368,0,10,0,-0.317,-0.014,0.993,0.055616606,-0.25504342,-0.18645428,-0.28558812,-0.030140243,-0.25270507,0.0,0.0,0.0,0.7472440600395203,0.7472440600395203,link6
1764103614.1657395,ddpg_train,FAR,train,1,10,-6.275775140935653,0,11,0,-0.282,-0.072,1.004,0.25121298,-0.24999349,-0.14349642,-0.13863865,-0.039663117,0.05263767,0.0,0.0,0.0,0.7190446257591248,0.7190446257591248,link6
1764103615.5523524,ddpg_train,FAR,train,1,11,-6.325050085521908,0,12,0,-0.16,-0.025,1.04,0.17477117,-0.14255859,-0.043450117,-0.3686576,-0.04169862,0.2940811,0.0,0.0,0.0,0.6229302883148193,0.6229302883148193,link6
1764103616.9361572,ddpg_train,FAR,train,1,12,-6.323788439736049,0,13,0,-0.163,-0.027,1.04,0.1752918,-0.15676554,-0.047886495,-0.4612518,-0.024306059,0.3754314,0.0,0.0,0.0,0.6806122660636902,0.6806122660636902,link6
1764103618.3251538,ddpg_train,FAR,train,1,13,-6.328397036223571,0,14,0,-0.195,-0.034,1.033,0.17755537,-0.18502983,-0.06469872,-0.46558955,-0.009384631,0.46955177,0.0,0.0,0.0,0.5647318959236145,0.5647318959236145,link6
1764103619.7070308,ddpg_train,FAR,train,1,14,-6.357397363628824,0,15,0,-0.01,-0.001,1.054,0.17822145,-0.068777695,0.11557233,-0.31154335,-0.023997448,0.5893511,0.0,0.0,0.0,0.5017361044883728,0.5017361044883728,link6
