mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,-1.0,0,0,0,-0.235,-0.088,0.91,nan,nan,
RANDOM,random,1,2,-1.0,0,0,0,0.412,0.047,0.181,nan,nan,
RANDOM,random,1,3,-1.0,0,0,0,-0.139,-0.15,1.374,nan,nan,
RANDOM,random,1,4,-1.0,0,0,0,0.243,0.51,1.07,nan,nan,
RANDOM,random,1,5,-1.0,0,0,0,0.425,-0.327,0.946,nan,nan,
RANDOM,random,1,6,-1.0,0,0,0,-0.059,-0.799,0.607,nan,nan,
RANDOM,random,1,7,-1.0,0,0,0,-0.004,0.424,1.192,nan,nan,
RANDOM,random,1,8,-1.0,0,0,0,-0.209,-0.019,1.12,nan,nan,
RANDOM,random,1,9,-1.0,0,0,0,-0.265,0.016,0.539,nan,nan,
RANDOM,random,1,10,-1.0,0,0,0,-0.701,-0.424,0.521,nan,nan,
RANDOM,random,1,11,-1.0,0,0,0,-0.207,-0.302,0.842,nan,nan,
RANDOM,random,1,12,-1.0,0,0,0,0.569,-0.462,1.14,nan,nan,
RANDOM,random,1,13,-1.0,0,0,0,0.152,0.211,1.111,nan,nan,
RANDOM,random,1,14,-1.0,0,0,0,-0.074,-0.297,0.36,nan,nan,
RANDOM,random,1,15,-1.0,0,0,0,0.193,-0.602,0.458,nan,nan,
RANDOM,random,1,16,-1.0,0,0,0,0.435,0.05,0.851,nan,nan,
RANDOM,random,1,17,-1.0,0,0,0,-0.622,0.276,0.521,nan,nan,
RANDOM,random,1,18,-1.0,0,0,0,-0.41,0.192,0.985,nan,nan,
RANDOM,random,1,19,-1.0,0,0,0,0.002,-0.513,0.43,nan,nan,
RANDOM,random,1,20,-1.0,0,0,0,-0.237,-0.274,0.842,nan,nan,
RANDOM,random,1,21,-1.0,0,0,0,0.261,0.562,1.019,nan,nan,
RANDOM,random,1,22,-1.0,0,0,0,-0.198,0.009,1.049,nan,nan,
RANDOM,random,1,23,-1.0,0,0,0,-0.155,0.228,0.869,nan,nan,
RANDOM,random,1,24,-1.0,0,0,0,-0.49,-0.115,0.541,nan,nan,
RANDOM,random,1,25,-1.0,0,0,0,0.186,-0.027,1.076,nan,nan,
RANDOM,random,1,26,-1.0,0,0,0,-0.31,-0.167,0.7,nan,nan,
RANDOM,random,1,27,-1.0,0,0,0,-0.343,-0.446,0.373,nan,nan,
RANDOM,random,1,28,-1.0,0,0,0,-0.187,-0.311,1.138,nan,nan,
RANDOM,random,1,29,-1.0,0,0,0,0.286,0.222,0.515,nan,nan,
RANDOM,random,1,30,-1.0,0,0,0,-0.567,0.269,1.169,nan,nan,
RANDOM,random,1,31,-1.0,0,0,0,0.02,0.138,1.098,nan,nan,
RANDOM,random,1,32,-1.0,0,0,0,0.154,0.028,1.227,nan,nan,
RANDOM,random,1,33,-1.0,0,0,0,-0.081,-0.074,1.161,nan,nan,
RANDOM,random,1,34,-1.0,0,0,0,-0.183,-0.139,0.849,nan,nan,
RANDOM,random,1,35,-1.0,0,0,0,-0.184,-0.129,0.797,nan,nan,
RANDOM,random,1,36,-1.0,0,0,0,0.017,0.27,1.168,nan,nan,
RANDOM,random,1,37,-1.0,0,0,0,0.452,-0.357,1.088,nan,nan,
RANDOM,random,1,38,-1.0,0,0,0,0.024,0.339,0.655,nan,nan,
RANDOM,random,1,39,-1.0,0,0,0,0.126,-0.723,0.508,nan,nan,
RANDOM,random,1,40,-1.0,0,0,0,-0.091,0.523,0.809,nan,nan,
RANDOM,random,1,41,-1.0,0,0,0,0.297,-0.371,0.631,nan,nan,
RANDOM,random,1,42,-1.0,0,0,0,-0.291,0.112,0.38,nan,nan,
RANDOM,random,1,43,-1.0,0,0,0,-0.107,0.709,0.447,nan,nan,
RANDOM,random,1,44,-1.0,0,0,0,0.528,0.234,0.331,nan,nan,
RANDOM,random,1,45,-1.0,0,0,0,-0.124,0.03,1.225,nan,nan,
RANDOM,random,1,46,-1.0,0,0,0,-0.144,0.123,1.025,nan,nan,
RANDOM,random,1,47,-1.0,0,0,0,0.003,-0.129,1.253,nan,nan,
RANDOM,random,1,48,-1.0,0,0,0,-0.418,-0.38,1.12,nan,nan,
RANDOM,random,1,49,-1.0,0,0,0,-0.206,-0.209,0.96,nan,nan,
RANDOM,random,1,50,-1.0,0,0,0,0.015,0.256,0.995,nan,nan,
RANDOM,random,1,51,-1.0,0,0,0,0.207,0.12,0.91,nan,nan,
RANDOM,random,1,52,-1.0,0,0,0,-0.295,-0.123,1.059,nan,nan,
RANDOM,random,1,53,-1.0,0,0,0,-0.242,-0.166,1.141,nan,nan,
RANDOM,random,1,54,-1.0,0,0,0,-0.123,-0.398,0.871,nan,nan,
RANDOM,random,1,55,-1.0,0,0,0,-0.212,0.426,1.293,nan,nan,
RANDOM,random,2,1,-1.0,0,0,0,-0.307,0.706,0.655,nan,nan,
RANDOM,random,2,2,-1.0,0,0,0,-0.476,0.044,0.697,nan,nan,
RANDOM,random,2,3,-1.0,0,0,0,-0.112,0.329,1.194,nan,nan,
RANDOM,random,2,4,-1.0,0,0,0,-0.354,-0.285,1.159,nan,nan,
RANDOM,random,2,5,-1.0,0,0,0,-0.068,-0.126,1.167,nan,nan,
RANDOM,random,2,6,-1.0,0,0,0,-0.045,-0.046,1.306,nan,nan,
RANDOM,random,2,7,-1.0,0,0,0,-0.104,0.747,1.002,nan,nan,
RANDOM,random,2,8,-1.0,0,0,0,0.078,0.729,0.902,nan,nan,
RANDOM,random,2,9,-1.0,0,0,0,-0.245,-0.685,0.686,nan,nan,
RANDOM,random,2,10,-1.0,0,0,0,-0.454,-0.092,0.121,nan,nan,
RANDOM,random,2,11,-1.0,0,0,0,-0.029,-0.145,1.233,nan,nan,
RANDOM,random,2,12,-1.0,0,0,0,-0.025,-0.57,1.231,nan,nan,
RANDOM,random,2,13,-1.0,0,0,0,0.215,-0.647,0.546,nan,nan,
RANDOM,random,2,14,-1.0,0,0,0,0.496,-0.097,0.435,nan,nan,
RANDOM,random,2,15,-1.0,0,0,0,0.53,-0.215,0.683,nan,nan,
RANDOM,random,2,16,-1.0,0,0,0,0.182,-0.344,0.821,nan,nan,
RANDOM,random,2,17,-1.0,0,0,0,0.17,0.64,1.096,nan,nan,
RANDOM,random,2,18,-1.0,0,0,0,0.116,-0.017,1.315,nan,nan,
RANDOM,random,2,19,-1.0,0,0,0,-0.031,-0.299,1.14,nan,nan,
RANDOM,random,2,20,-1.0,0,0,0,-0.122,-0.318,0.73,nan,nan,
RANDOM,random,2,21,-1.0,0,0,0,0.584,0.127,0.582,nan,nan,
RANDOM,random,2,22,-1.0,0,0,0,-0.417,0.509,1.121,nan,nan,
RANDOM,random,2,23,-1.0,0,0,0,-0.545,-0.3,1.207,nan,nan,
RANDOM,random,2,24,-1.0,0,0,0,0.339,0.404,0.685,nan,nan,
RANDOM,random,2,25,-1.0,0,0,0,-0.327,0.641,0.545,nan,nan,
RANDOM,random,2,26,-1.0,0,0,0,0.095,0.139,1.243,nan,nan,
RANDOM,random,2,27,-1.0,0,0,0,-1.003,-0.122,0.734,nan,nan,
RANDOM,random,2,28,-1.0,0,0,0,-0.687,0.579,0.629,nan,nan,
RANDOM,random,2,29,-1.0,0,0,0,0.479,0.208,1.214,nan,nan,
RANDOM,random,2,30,-1.0,0,0,0,-0.582,-0.339,0.64,nan,nan,
RANDOM,random,2,31,-1.0,0,0,0,0.196,0.344,0.425,nan,nan,
RANDOM,random,2,32,-1.0,0,0,0,-0.662,-0.288,0.281,nan,nan,
RANDOM,random,2,33,-1.0,0,0,0,-0.161,0.385,0.758,nan,nan,
RANDOM,random,2,34,-1.0,0,0,0,0.315,-0.426,0.257,nan,nan,
RANDOM,random,2,35,-1.0,0,0,0,-0.629,0.289,0.984,nan,nan,
RANDOM,random,2,36,-1.0,0,0,0,-0.12,-0.582,0.652,nan,nan,
RANDOM,random,2,37,-1.0,0,0,0,0.381,-0.001,1.074,nan,nan,
RANDOM,random,2,38,-1.0,0,0,0,0.04,-0.189,1.215,nan,nan,
RANDOM,random,2,39,-1.0,0,0,0,0.419,-0.166,1.048,nan,nan,
RANDOM,random,2,40,-1.0,0,0,0,-0.447,0.029,1.145,nan,nan,
RANDOM,random,2,41,-1.0,0,0,0,0.289,0.344,1.177,nan,nan,
RANDOM,random,2,42,-1.0,0,0,0,-0.261,-0.19,1.304,nan,nan,
RANDOM,random,2,43,-1.0,0,0,0,-0.054,0.112,1.192,nan,nan,
RANDOM,random,2,44,-1.0,0,0,0,0.17,0.088,1.232,nan,nan,
RANDOM,random,2,45,-1.0,0,0,0,-0.468,0.287,0.757,nan,nan,
RANDOM,random,2,46,-1.0,0,0,0,0.176,-0.806,0.631,nan,nan,
RANDOM,random,2,47,-1.0,0,0,0,-0.277,-0.029,1.334,nan,nan,
RANDOM,random,2,48,-1.0,0,0,0,0.316,-0.507,0.714,nan,nan,
RANDOM,random,2,49,-1.0,0,0,0,-0.061,-0.115,1.25,nan,nan,
RANDOM,random,2,50,-1.0,0,0,0,0.301,0.375,1.273,nan,nan,
RANDOM,random,2,51,-1.0,0,0,0,0.071,-0.028,1.069,nan,nan,
RANDOM,random,2,52,-1.0,0,0,0,-0.129,0.097,1.342,nan,nan,
RANDOM,random,2,53,-1.0,0,0,0,-0.078,-0.406,0.431,nan,nan,
RANDOM,random,2,54,-1.0,0,0,0,0.559,-0.27,1.085,nan,nan,
RANDOM,random,2,55,-1.0,0,0,0,0.41,-0.662,0.633,nan,nan,
RANDOM,random,3,1,-1.0,0,0,0,0.144,-0.292,0.677,nan,nan,
RANDOM,random,3,2,-1.0,0,0,0,-0.604,0.025,0.286,nan,nan,
RANDOM,random,3,3,-1.0,0,0,0,0.324,0.33,0.303,nan,nan,
RANDOM,random,3,4,-1.0,0,0,0,-0.119,0.246,1.194,nan,nan,
RANDOM,random,3,5,-1.0,0,0,0,0.061,0.586,0.367,nan,nan,
RANDOM,random,3,6,-1.0,0,0,0,0.267,0.427,0.279,nan,nan,
RANDOM,random,3,7,-1.0,0,0,0,0.33,-0.241,0.523,nan,nan,
RANDOM,random,3,8,-1.0,0,0,0,0.107,0.526,1.109,nan,nan,
RANDOM,random,3,9,-1.0,0,0,0,-0.087,-0.506,1.019,nan,nan,
RANDOM,random,3,10,-1.0,0,0,0,0.022,0.0,1.288,nan,nan,
RANDOM,random,3,11,-1.0,0,0,0,-0.495,0.234,0.799,nan,nan,
RANDOM,random,3,12,-1.0,0,0,0,-0.185,0.047,1.207,nan,nan,
RANDOM,random,3,13,-1.0,0,0,0,0.485,0.129,0.713,nan,nan,
RANDOM,random,3,14,-1.0,0,0,0,-0.059,-0.322,1.122,nan,nan,
RANDOM,random,3,15,-1.0,0,0,0,0.203,0.174,1.113,nan,nan,
RANDOM,random,3,16,-1.0,0,0,0,0.047,-0.765,0.706,nan,nan,
RANDOM,random,3,17,-1.0,0,0,0,-0.65,0.326,0.617,nan,nan,
RANDOM,random,3,18,-1.0,0,0,0,-0.255,-0.324,0.574,nan,nan,
RANDOM,random,3,19,-1.0,0,0,0,0.064,-0.108,1.208,nan,nan,
RANDOM,random,3,20,-1.0,0,0,0,-0.33,0.649,0.4,nan,nan,
RANDOM,random,3,21,-1.0,0,0,0,-0.075,0.363,1.066,nan,nan,
RANDOM,random,3,22,-1.0,0,0,0,0.098,0.767,0.587,nan,nan,
RANDOM,random,3,23,-1.0,0,0,0,0.52,0.425,0.881,nan,nan,
RANDOM,random,3,24,-1.0,0,0,0,0.311,-0.053,1.13,nan,nan,
RANDOM,random,3,25,-1.0,0,0,0,-0.531,0.491,0.282,nan,nan,
RANDOM,random,3,26,-1.0,0,0,0,-0.304,0.497,0.652,nan,nan,
RANDOM,random,3,27,-1.0,0,0,0,0.588,0.12,0.673,nan,nan,
RANDOM,random,3,28,-1.0,0,0,0,0.088,0.361,1.115,nan,nan,
RANDOM,random,3,29,-1.0,0,0,0,-0.062,-0.636,0.284,nan,nan,
RANDOM,random,3,30,-1.0,0,0,0,0.01,0.26,1.284,nan,nan,
RANDOM,random,3,31,-1.0,0,0,0,0.187,0.521,0.571,nan,nan,
RANDOM,random,3,32,-1.0,0,0,0,-0.817,0.095,0.706,nan,nan,
RANDOM,random,3,33,-1.0,0,0,0,0.008,0.061,1.15,nan,nan,
RANDOM,random,3,34,-1.0,0,0,0,0.688,0.082,0.258,nan,nan,
RANDOM,random,3,35,-1.0,0,0,0,0.104,0.61,0.774,nan,nan,
RANDOM,random,3,36,-1.0,0,0,0,0.314,0.276,0.853,nan,nan,
RANDOM,random,3,37,-1.0,0,0,0,0.467,-0.249,0.839,nan,nan,
RANDOM,random,3,38,-1.0,0,0,0,0.188,0.076,1.132,nan,nan,
RANDOM,random,3,39,-1.0,0,0,0,-0.409,0.251,0.648,nan,nan,
RANDOM,random,3,40,-1.0,0,0,0,-0.185,0.066,1.323,nan,nan,
RANDOM,random,3,41,-1.0,0,0,0,-0.661,-0.11,1.078,nan,nan,
RANDOM,random,3,42,-1.0,0,0,0,-0.228,0.082,0.051,nan,nan,
RANDOM,random,3,43,-1.0,0,0,0,-0.38,0.311,1.052,nan,nan,
RANDOM,random,3,44,-1.0,0,0,0,0.044,0.147,1.116,nan,nan,
RANDOM,random,3,45,-1.0,0,0,0,0.144,0.573,1.194,nan,nan,
RANDOM,random,3,46,-1.0,0,0,0,0.072,0.091,1.303,nan,nan,
RANDOM,random,3,47,-1.0,0,0,0,-0.086,-0.416,1.245,nan,nan,
RANDOM,random,3,48,-1.0,0,0,0,0.248,0.034,0.962,nan,nan,
RANDOM,random,3,49,-1.0,0,0,0,-0.331,-0.567,1.126,nan,nan,
RANDOM,random,3,50,-1.0,0,0,0,-0.365,-0.532,0.956,nan,nan,
RANDOM,random,3,51,-1.0,0,0,0,0.052,-0.712,0.97,nan,nan,
RANDOM,random,3,52,-1.0,0,0,0,0.036,0.033,1.296,nan,nan,
RANDOM,random,3,53,-1.0,0,0,0,-0.289,0.012,1.01,nan,nan,
RANDOM,random,3,54,-1.0,0,0,0,-0.392,-0.123,0.345,nan,nan,
