ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1762481449.019961,ddpg_train,FAR,train,1,0,-8.698608367630897,0,1,0,-0.016,0.039,1.395,0.05558265,0.0026951358,-0.03125581,0.0005755218,-0.017353278,0.072203964,0.84736896,0.36864895,0.2945103,0.4183485209941864,0.4183485209941864,link6
1762481450.4002116,ddpg_train,FAR,train,1,1,-9.179883024383999,0,2,0,-0.163,0.001,1.372,0.23611045,0.019063223,-0.29287305,-0.023317566,0.03142035,0.3627203,0.84736896,0.36864895,0.2945103,0.4669700264930725,0.4669700264930725,link6
1762481451.788357,ddpg_train,FAR,train,1,2,-9.409082254082485,0,3,0,-0.242,-0.019,1.35,0.24334876,-0.011341196,-0.3486264,-0.04203498,-0.07983738,0.3370474,0.84736896,0.36864895,0.2945103,0.5771523714065552,0.5771523714065552,link6
1762481453.1718366,ddpg_train,FAR,train,1,3,-9.68096667296035,0,4,0,-0.333,-0.04,1.315,0.2408724,-0.052047152,-0.40486434,-0.07745473,-0.2285746,0.29888833,0.84736896,0.36864895,0.2945103,0.7366040349006653,0.7366040349006653,link6
1762481454.5538733,ddpg_train,FAR,train,1,4,-9.852364149665023,0,5,0,-0.427,0.001,1.261,0.1254741,-0.07868419,-0.48097792,-0.30618852,-0.36355683,-0.1009841,0.84736896,0.36864895,0.2945103,0.6789647936820984,0.6789647936820984,link6
1762481455.930702,ddpg_train,FAR,train,1,5,-9.907701560197486,0,6,0,-0.43,-0.008,1.267,0.13365033,-0.10371803,-0.43197897,-0.22411504,-0.38625202,-0.12566675,0.84736896,0.36864895,0.2945103,0.5909169316291809,0.5909169316291809,link6
1762481457.3102233,ddpg_train,FAR,train,1,6,-9.568453101674672,0,7,0,-0.334,0.07,1.321,-0.08573093,-0.07880787,-0.3911034,-0.32888776,-0.04477663,0.013646745,0.84736896,0.36864895,0.2945103,0.6337753534317017,0.6337753534317017,link6
1762481458.6890724,ddpg_train,FAR,train,1,7,-9.856945699483138,0,8,0,-0.39,0.01,1.312,0.08333913,-0.15296601,-0.32863316,-0.12660252,-0.021073118,-0.19802694,0.84736896,0.36864895,0.2945103,0.6560007929801941,0.6560007929801941,link6
1762481460.0642781,ddpg_train,FAR,train,1,8,-10.142100052526738,0,9,0,-0.47,-0.019,1.279,0.12401081,-0.21631673,-0.35595995,-0.038189165,-0.018288702,-0.22573848,0.84736896,0.36864895,0.2945103,0.7097228765487671,0.7097228765487671,link6
1762481461.448779,ddpg_train,FAR,train,1,9,-9.95880108962734,0,10,0,-0.434,0.025,1.291,0.041203346,-0.18075536,-0.32416406,-0.16996248,-0.18835218,-0.30012527,0.84736896,0.36864895,0.2945103,0.7260398268699646,0.7260398268699646,link6
1762481462.8363044,ddpg_train,FAR,train,1,10,-9.901966122945375,0,11,0,-0.374,-0.01,1.33,0.13170534,-0.21149619,-0.19595993,-0.15796582,0.09284246,-0.17856646,0.84736896,0.36864895,0.2945103,0.5131484270095825,0.5131484270095825,link6
1762481464.2321281,ddpg_train,FAR,train,1,11,-9.652218887376469,0,12,0,-0.293,-0.024,1.355,0.208506,-0.20093732,-0.13317762,-0.13923247,0.21381134,-0.2373099,0.84736896,0.36864895,0.2945103,0.5732972025871277,0.5732972025871277,link6
1762481465.6126184,ddpg_train,FAR,train,1,12,-8.973201209342358,0,13,0,-0.052,0.025,1.388,0.19101734,-0.11216646,0.115888186,-0.1637849,0.22905852,-0.5727349,0.84736896,0.36864895,0.2945103,0.3072390556335449,0.3072390556335449,link6
1762481466.9900954,ddpg_train,FAR,train,1,13,-8.810944435893207,0,14,0,0.005,0.036,1.381,0.36590576,-0.08933374,0.12026629,-0.1512556,0.410641,-0.596532,0.84736896,0.36864895,0.2945103,0.2735903859138489,0.2735903859138489,link6
1762481468.3704667,ddpg_train,FAR,train,1,14,-8.50379767809615,0,15,0,0.01,0.042,1.377,0.5020685,-0.063921005,0.06494492,-0.1211138,0.5169479,-0.6379485,0.84736896,0.36864895,0.2945103,0.4394060969352722,0.4394060969352722,link6
1762481469.754971,ddpg_train,FAR,train,1,15,-8.919078211314044,0,16,0,0.049,0.06,1.382,0.37780434,-0.056885216,0.15775467,-0.03671795,0.29048198,-0.8459267,0.84736896,0.36864895,0.2945103,0.2094862461090088,0.2094862461090088,link6
1762481471.1605651,ddpg_train,FAR,train,1,16,-8.840548836816264,0,17,0,0.112,0.087,1.371,0.42009935,-0.016009541,0.18429552,-0.10646821,0.34984183,-0.71858084,0.84736896,0.36864895,0.2945103,0.17862097918987274,0.17862097918987274,link6
1762481472.5411983,ddpg_train,FAR,train,1,17,-8.716518692432738,0,18,0,0.059,0.078,1.391,0.50914204,0.060820136,0.004296429,0.035055164,0.10396951,-0.29115158,0.84736896,0.36864895,0.2945103,0.24579252302646637,0.24579252302646637,link6
1762481473.9230816,ddpg_train,FAR,train,1,18,-8.695205399447246,0,19,0,0.101,0.122,1.382,0.5906578,0.08241309,0.044227317,0.23096687,0.22659016,-0.08598127,0.84736896,0.36864895,0.2945103,0.2049243152141571,0.2049243152141571,link6
1762481475.2987134,ddpg_train,FAR,train,1,19,-10.106192269261495,0,20,0,0.175,0.162,1.364,0.53390545,0.10802536,0.11772681,0.29839328,0.279127,-0.07722607,0.84736896,0.36864895,0.2945103,0.0723300352692604,0.0723300352692604,link6
1762481476.740719,ddpg_train,MID,train,1,20,-8.799631941572459,0,21,0,0.123,0.064,1.384,0.17622864,0.044271585,0.09646266,0.11336152,0.14561695,-0.18596962,0.84736896,0.36864895,0.2945103,0.19109340012073517,0.19109340012073517,link6
1762481478.1242123,ddpg_train,FAR,train,1,21,-8.592015411198116,0,22,0,0.011,0.042,1.395,0.11972028,0.004997243,-0.025025284,0.10685143,0.06942571,-0.13670641,0.84736896,0.36864895,0.2945103,0.42667707800865173,0.42667707800865173,link6
1762481479.4985342,ddpg_train,FAR,train,1,22,-9.176566491526808,0,23,0,-0.17,0.021,1.38,0.11929999,-0.057794023,-0.16382796,0.08719887,-0.011016298,-0.058346353,0.84736896,0.36864895,0.2945103,0.6241142153739929,0.6241142153739929,link6
1762481480.8766518,ddpg_train,FAR,train,1,23,-9.494055665398735,0,24,0,-0.268,-0.001,1.348,0.18776436,-0.096461855,-0.14589101,-0.22540614,-0.43618965,0.321033,0.84736896,0.36864895,0.2945103,0.5289949774742126,0.5289949774742126,link6
1762481482.2558908,ddpg_train,FAR,train,1,24,-9.639657272277885,0,25,0,-0.332,0.027,1.329,0.034671567,-0.120095715,-0.25817046,-0.07680942,-0.30263582,0.29914603,0.84736896,0.36864895,0.2945103,0.6671504378318787,0.6671504378318787,link6
1762481483.6419878,ddpg_train,FAR,train,1,25,-9.12979265494398,0,26,0,-0.139,0.025,1.387,0.11248672,-0.13133706,0.020978922,0.11535742,0.06968659,0.2132237,0.84736896,0.36864895,0.2945103,0.44071096181869507,0.44071096181869507,link6
1762481485.0268853,ddpg_train,FAR,train,1,26,-9.140772530681462,0,27,0,-0.147,0.043,1.384,-0.005110112,-0.17863946,0.09484553,0.36579177,0.08421617,0.089710765,0.84736896,0.36864895,0.2945103,0.4168381989002228,0.4168381989002228,link6
1762481486.423647,ddpg_train,FAR,train,1,27,-9.278007569066128,0,28,0,-0.197,0.035,1.378,0.03844915,-0.20901646,0.07370477,0.4175662,0.030314391,0.094949126,0.84736896,0.36864895,0.2945103,0.5133386254310608,0.5133386254310608,link6
1762481487.8098161,ddpg_train,FAR,train,1,28,-9.034003203420669,0,29,0,-0.117,0.044,1.386,-0.048755996,-0.17040233,0.13807127,0.50537753,-0.022242155,0.28406265,0.84736896,0.36864895,0.2945103,0.4127501845359802,0.4127501845359802,link6
1762481489.1942525,ddpg_train,FAR,train,1,29,-9.415487928794649,0,30,0,-0.234,0.02,1.372,0.0770807,-0.2190291,0.05352843,0.39476466,-0.06288698,0.44391873,0.84736896,0.36864895,0.2945103,0.5503448247909546,0.5503448247909546,link6
1762481490.5695777,ddpg_train,FAR,train,1,30,-9.842412374282846,0,31,0,-0.359,-0.008,1.339,0.121982485,-0.26849145,-0.04968992,0.31087926,-0.09726329,0.543094,0.84736896,0.36864895,0.2945103,0.689452588558197,0.689452588558197,link6
1762481491.9563563,ddpg_train,FAR,train,1,31,-9.655790729505886,0,32,0,-0.332,0.04,1.336,-0.02094739,-0.18323383,-0.12321694,0.14137527,-0.35102907,0.59217453,0.84736896,0.36864895,0.2945103,0.6066096425056458,0.6066096425056458,link6
1762481493.4632647,ddpg_train,FAR,train,1,32,-9.741802369427257,0,33,1,-0.382,0.08,1.312,-0.10080114,-0.22284305,-0.11971988,-0.059422374,-0.4667082,0.53330094,0.84736896,0.36864895,0.2945103,0.6072486042976379,0.6072486042976379,link6
1762481494.8414536,ddpg_train,FAR,train,1,33,-9.411261485199626,0,34,1,-0.244,-0.01,1.35,0.24781293,-0.13566057,-0.012289282,-0.13804147,-0.6040192,0.074097484,0.84736896,0.36864895,0.2945103,0.5398644804954529,0.5398644804954529,link6
1762481496.2365246,ddpg_train,FAR,train,1,34,-9.315968702081591,0,35,1,-0.197,-0.063,1.346,0.5255265,-0.11910015,0.037714526,-0.06062999,-0.7810982,-0.17853637,0.84736896,0.36864895,0.2945103,0.45198673009872437,0.45198673009872437,link6
1762481497.6133468,ddpg_train,FAR,train,1,35,-9.21725149142657,0,36,1,-0.149,-0.07,1.354,0.6854791,-0.09907036,0.07215184,0.006709993,-0.7660693,-0.17956643,0.84736896,0.36864895,0.2945103,0.38861924409866333,0.38861924409866333,link6
1762481499.0223417,ddpg_train,FAR,train,1,36,-8.67776360941605,0,37,1,-0.004,0.034,1.361,0.9555872,-0.0428641,0.2748763,0.18233581,-0.81129473,0.10783985,0.84736896,0.36864895,0.2945103,0.30063939094543457,0.30063939094543457,link6
