ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1762803147.0378907,ddpg_demo,FAR,demo,1,0,-8.470537601558899,0,0,0,0.196,0.083,1.346,0.19488816,-0.04892845,0.46130255,0.4905261,0.518071,-0.04287577,0.0,0.0,0.0,0.2832987308502197,0.2832987308502197,link6
1762803148.4123814,ddpg_demo,FAR,demo,1,1,-3.2756118690582436,0,0,0,-0.059,0.176,0.494,1.3896577,-0.30384958,2.528577,1.8265419,2.6926367,-1.4391421,0.0,0.0,0.0,0.38234105706214905,0.38234105706214905,link6
1762803149.7878594,ddpg_demo,FAR,demo,1,2,-4.423816336825747,0,0,0,0.189,0.123,0.482,0.023442606,-0.25016966,2.5884955,2.320882,2.3986373,-2.221512,0.0,0.0,0.0,0.14016349613666534,0.14016349613666534,link6
1762803151.1683483,ddpg_demo,FAR,demo,1,3,-4.070809893439055,0,0,0,0.193,-0.206,0.479,-1.0019914,-0.15540788,2.5874796,2.8710542,2.2139053,-2.791051,0.0,0.0,0.0,0.19175079464912415,0.19175079464912415,link6
1762803152.5754318,ddpg_demo,FAR,demo,1,4,-3.0212772984648133,0,0,0,-0.112,0.22,0.43,1.8938615,0.038907666,2.5321226,3.0798392,3.0514739,-2.361669,0.0,0.0,0.0,0.46816667914390564,0.46816667914390564,link6
1762803156.217483,ddpg_demo,FAR,demo,2,0,-8.315518564185805,0,0,0,0.189,0.081,1.352,0.22391699,-0.033710603,0.40516138,0.27070284,0.43103144,-0.2278813,0.0,0.0,0.0,0.3814588487148285,0.3814588487148285,link6
1762803157.6000319,ddpg_demo,FAR,demo,2,1,-3.2547830652351,0,0,0,-0.063,0.185,0.486,1.4706575,-0.24590434,2.531153,1.9766401,2.760589,-1.2436291,0.0,0.0,0.0,0.3800051212310791,0.3800051212310791,link6
1762803158.9839242,ddpg_demo,FAR,demo,2,2,-4.389349426944236,0,0,0,0.172,0.151,0.481,0.22149041,-0.23658977,2.5920165,2.3579865,2.4131513,-1.9582895,0.0,0.0,0.0,0.14327315986156464,0.14327315986156464,link6
1762803160.3733752,ddpg_demo,FAR,demo,2,3,-4.69876754089888,0,0,0,0.314,0.207,0.417,0.40066707,0.088832624,2.5135698,2.8595543,2.1059093,-2.7784142,0.0,0.0,0.0,0.13246417045593262,0.13246417045593262,link6
1762803161.761369,ddpg_demo,FAR,demo,2,4,-5.310154702109735,0,0,0,0.277,0.165,0.417,0.37741962,0.11068329,2.5387175,2.9850724,2.5623755,-2.8192484,0.0,0.0,0.0,0.08451308310031891,0.08451308310031891,link6
1762803165.4008687,ddpg_demo,FAR,demo,3,0,-8.415290259825737,0,0,0,0.099,0.051,1.384,0.14030905,-0.0195342,0.23070797,0.1761013,0.2420023,-0.12783742,0.0,0.0,0.0,0.40810254216194153,0.40810254216194153,link6
1762803166.7851744,ddpg_demo,FAR,demo,3,1,-3.3705051450041346,0,0,0,-0.028,0.195,0.496,1.3263735,-0.25081542,2.5387392,2.262131,2.7630687,-0.92302406,0.0,0.0,0.0,0.3391057550907135,0.3391057550907135,link6
1762803168.1719606,ddpg_demo,FAR,demo,3,2,-5.244588523137352,0,0,0,0.193,0.171,0.476,0.23758636,-0.2339685,2.5954118,2.4001915,2.1518304,-1.689075,0.0,0.0,0.0,0.09180651605129242,0.09180651605129242,link6
1762803169.6127303,ddpg_demo,MID,demo,3,3,-5.2217461132603855,0,0,0,0.352,0.175,0.411,0.25638953,0.05170223,2.5137985,2.777949,1.8563153,-2.7897763,0.0,0.0,0.0,0.10164502263069153,0.10164502263069153,link6
1762803171.0501652,ddpg_demo,MID,demo,3,4,-5.117743202169132,0,0,0,0.304,0.175,0.415,0.3348893,0.076201685,2.5502243,2.87485,2.212188,-2.7709305,0.0,0.0,0.0,0.09902386367321014,0.09902386367321014,link6
1762803174.6958272,ddpg_demo,FAR,demo,4,0,-3.387876990274924,0,0,0,-0.056,0.223,0.496,1.3924099,-0.21337897,2.5011623,1.9901669,2.628041,-1.6418136,0.0,0.0,0.0,0.3838062882423401,0.3838062882423401,link6
1762803176.073577,ddpg_demo,FAR,demo,4,1,-4.539024188342518,0,0,0,0.284,-0.04,0.473,-0.5550653,-0.13810039,2.558715,2.6032457,2.2242637,-2.5097625,0.0,0.0,0.0,0.1410530060529709,0.1410530060529709,link6
1762803177.4487545,ddpg_demo,FAR,demo,4,2,-3.3126229601289854,0,0,0,0.28,-0.057,0.454,-0.41000625,-0.06638178,2.5898273,2.904504,2.362165,-2.740149,0.0,0.0,0.0,0.39739087224006653,0.39739087224006653,link6
1762803178.8421342,ddpg_demo,FAR,demo,4,3,-3.173465146986007,0,0,0,-0.008,0.247,0.439,1.4326887,0.01607774,2.5176787,3.0599675,3.0315292,-2.6255758,0.0,0.0,0.0,0.3501325845718384,0.3501325845718384,link6
1762803180.2233343,ddpg_demo,FAR,demo,4,4,-4.73018770544583,0,0,0,0.397,0.013,0.362,-0.25835672,0.14079817,2.555229,2.8995364,1.7254997,-2.8794303,0.0,0.0,0.0,0.120020791888237,0.120020791888237,link6
1762803183.8833961,ddpg_demo,FAR,demo,5,0,-3.418240023324178,0,0,0,-0.075,0.205,0.515,1.643752,-0.21546628,2.4787514,2.5209544,2.8419416,-0.83447844,0.0,0.0,0.0,0.4388025403022766,0.4388025403022766,link6
1762803185.2732565,ddpg_demo,FAR,demo,5,1,-3.696781273902913,0,0,0,0.31,-0.041,0.469,-0.49731004,-0.22414741,2.5676692,2.4906375,1.7951552,-2.2559164,0.0,0.0,0.0,0.27656853199005127,0.27656853199005127,link6
1762803186.6509237,ddpg_demo,FAR,demo,5,2,-3.396278004255664,0,0,0,0.261,-0.196,0.437,-0.9700635,-0.19669908,2.6034002,2.5842218,1.6303544,-2.8982444,0.0,0.0,0.0,0.36998888850212097,0.36998888850212097,link6
